tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,kota
2018-08-12,23.4,33.4,27.5,79,0,6.2,3,360,Serang
2018-08-13,23.6,33.2,27.7,81,0,7.8,6,40,Serang
2018-08-14,24.2,33,27.7,80,,4.2,3,10,Serang
2018-08-15,24,33.6,27.4,81,,5.1,4,10,Serang
2018-08-16,23,33.2,27.4,76,0,4.5,3,10,Serang
2018-08-17,,32.4,26,79,,6,3,20,Serang
2018-08-18,21.2,32.6,25.9,78,,8,3,30,Serang
2018-08-19,21,33,26.1,76,0,6.8,4,360,Serang
2018-08-20,21.6,33.2,27.5,77,,9,4,10,Serang
2018-08-21,22.8,33.2,27.6,77,0,9.2,4,70,Serang
2018-08-22,23.4,33.8,28.2,78,0,,3,10,Serang
2018-08-23,23.6,32.6,27.7,80,0,7,3,10,Serang
2018-08-24,24,33,27.9,80,,6.5,4,350,Serang
2018-08-25,24.2,33.2,27.6,79,,6.1,4,20,Serang
2018-08-26,23.6,33.4,28.3,78,0,9.1,4,20,Serang
2018-08-27,24,33.6,27.8,78,0,,4,10,Serang
2018-08-28,23.8,33.4,28.3,77,0,9.5,4,40,Serang
2018-08-29,23.8,34,27.7,77,0,6,4,20,Serang
2018-08-30,24.2,33.4,28.1,77,,4,4,30,Serang
2018-08-31,23.2,33.6,28,76,0,8.9,5,310,Serang
2018-09-01,23,33.6,27.1,80,13.5,10.3,5,140,Serang
2018-09-02,23.2,31.4,25.5,89,0.7,5.5,3,280,Serang
2018-09-03,24,34.6,28.1,76,9.5,3.9,4,10,Serang
2018-09-04,23.2,33.8,27.5,72,,9.5,3,340,Serang
2018-09-05,22.4,33.6,27.5,75,0,8.2,3,290,Serang
2018-09-06,23,34,27.4,80,0,6.8,4,70,Serang
2018-09-07,23.6,34.4,27.5,80,0,4,5,30,Serang
2018-09-08,23.8,34.4,28.1,77,,6.5,3,10,Serang
2018-09-09,22.4,33.4,27.4,75,,3.8,3,360,Serang
2018-09-10,22.2,34.6,27.9,70,,8.6,4,10,Serang
2018-09-11,23.4,34.4,28.4,74,0,9,5,340,Serang
2018-09-12,22.8,34.6,28.1,73,0,8,7,290,Serang
2018-09-13,22.4,34.6,27,76,0,8.7,4,350,Serang
2018-09-14,22,33.8,27.1,73,,5.2,4,170,Serang
